SPACE CATEGORY,SPACE TYPE,SPACE NAME
BALANCE,SANITARY,ACCESSIBLE SHOWER
BALANCE,CIRCULATION,ATRIUM
BALANCE,CIRCULATION,BALCONY
BALANCE,SANITARY,CHILD TOILET
BALANCE,FACILITIES MANAGEMENT,CLEANERS CUPBOARD
BALANCE,CIRCULATION,CORRIDOR
BALANCE,PLANT,ELECTRICAL RISER
BALANCE,CIRCULATION,EMERGENCY EXIT
BALANCE,SANITARY,FEMALE SHOWER
BALANCE,SANITARY,FEMALE TOILET
BALANCE,CIRCULATION,FOYER
BALANCE,CIRCULATION,GALLERY
BALANCE,SANITARY,GENDER NEUTRAL SHOWER
BALANCE,SANITARY,GENDER NEUTRAL TOILET
BALANCE,PLANT,IT HUB
BALANCE,CIRCULATION,LIFT SHAFT
BALANCE,FACILITIES MANAGEMENT,LOADING BAY
BALANCE,CIRCULATION,LOBBY
BALANCE,SANITARY,MALE SHOWER
BALANCE,SANITARY,MALE TOILET
BALANCE,PLANT,MECHANICAL RISER
BALANCE,PLANT,MIXED RISER
BALANCE,SANITARY,PARENT AND BABY ROOM
BALANCE,PLANT,PLANT ROOM
BALANCE,CIRCULATION,REFUGE
BALANCE,CIRCULATION,ROOF ACCESS
BALANCE,CIRCULATION,STAIRWELL
BALANCE,PLANT,SUBWAY
BALANCE,SANITARY,Supp
BALANCE,VOID,VOID
BALANCE,SANITARY,WUDU
BALANCE,,
BALANCE,CIRCULATION,
BALANCE,PLANT,
BALANCE,FACILITIES MANAGEMENT,
BALANCE,SANITARY,
BALANCE,VOID,
RESIDENTIAL,,
RESIDENTIAL,SANITARY,
RESIDENTIAL,SANITARY,BATHROOM
RESIDENTIAL,SANITARY,SHOWER
RESIDENTIAL,SANITARY,ACCESSIBLE BATHROOM
RESIDENTIAL,BEDROOM,
RESIDENTIAL,BEDROOM,BEDROOM
RESIDENTIAL,BEDROOM,ACCESSIBLE BEDROOM
RESIDENTIAL,BEDROOM,ENSUITE BEDROOM
RESIDENTIAL,BEDROOM,ENSUITE - ACCESSIBLE BEDROOM
RESIDENTIAL,BEDROOM,STUDIO BEDROOM
RESIDENTIAL,BEDROOM,STUDIO ENSUITE BEDROOM
RESIDENTIAL,BEDROOM,LOUNGE / LIVING AREA
RESIDENTIAL,BEDROOM ,KITCHEN
RESIDENTIAL,LAUNDRY,
RESIDENTIAL,LAUNDRY,LAUNDRY
RESIDENTIAL,STORE,
RESIDENTIAL,STORE,STORE
RESIDENTIAL,CIRCULATION,
RESIDENTIAL,CIRCULATION,CORRIDOR
RESIDENTIAL,CIRCULATION,ROOF ACCESS
RESIDENTIAL,CIRCULATION,LIFT SHAFT
RESIDENTIAL,CIRCULATION,STAIRWELL
RESIDENTIAL,CIRCULATION,LOBBY
RESIDENTIAL,CIRCULATION,FOYER
RESIDENTIAL,CIRCULATION,EMERGENCY EXIT
RESIDENTIAL,CIRCULATION,GALLERY
RESIDENTIAL,CIRCULATION,ATRIUM
RESIDENTIAL,CIRCULATION,BALCONY
RESIDENTIAL,CIRCULATION,REFUGE
EXTERNAL,,
EXTERNAL,EXTERNAL,
EXTERNAL,EXTERNAL,ROOF
EXTERNAL,EXTERNAL,BIKE STORAGE
EXTERNAL,EXTERNAL,SPORTS PITCH
LEASED,,
LEASED,LEASED,
LEASED,LEASED,LEASED
SUPPORT,,
SUPPORT,AUDIO VISUAL,
SUPPORT,AUDIO VISUAL,AV CONTROL ROOM
SUPPORT,STUDY,
RESEARCH,OFFICE,ACADEMIC OFFICE
TEACHING,OFFICE,ACADEMIC OFFICE
SUPPORT,AUDIO VISUAL,ASSISTIVE TECHNOLOGY
SUPPORT,WORKSHOP,
SUPPORT,CATERING,BAR
SUPPORT,STORE,
SUPPORT,STORE,STORE
SUPPORT,CHILDCARE,
SUPPORT,LIBRARY,BOOKSTACK
SUPPORT,RECREATION,
SUPPORT,CATERING,CAFÉ
SUPPORT,CATERING,COMMON ROOM
SUPPORT,CHANGING,
SUPPORT,CHANGING,MALE CHANGING
SUPPORT,CHANGING,FEMALE CHANGING
SUPPORT,CHANGING,GENDER NEUTRAL CHANGING
SUPPORT,CHANGING,STAFF CHANGING
SUPPORT,CHANGING,ACCESSIBLE CHANGING
SUPPORT,WELLBEING,
SUPPORT,STUDY,COMPUTER ROOM
TEACHING,TEACHING,COMPUTER ROOM
SUPPORT,MEETING ,CONFERENCE / FUNCTION ROOM
SUPPORT,VEHICLE STORAGE,
SUPPORT,VEHICLE STORAGE,CAR PARK
SUPPORT,VEHICLE STORAGE,GARAGE
SUPPORT,CATERING,
SUPPORT,MEETING ,CONSULTATION 
RESEARCH,LABORATORY,DARK ROOM
SUPPORT,CATERING,DINING / RESTURANT
SUPPORT,WELLBEING,FAITH
SUPPORT,WELLBEING,FIRST AID ROOM
SUPPORT,CATERING,FOOD PREPARATION / KITCHEN
RESEARCH,LABORATORY,INSTRUMENT ROOM
SUPPORT,LIBRARY,
RESEARCH,LABORATORY,LAB-BENCH
TEACHING,LABORATORY,LAB-BENCH
RESEARCH,LABORATORY,LAB-NON-BENCH
SUPPORT,MEETING ,
TEACHING,LABORATORY,LAB-NON-BENCH
RESEARCH,LABORATORY,LAB-PREP
TEACHING,TEACHING,LEARNING RESOURCE ROOM
TEACHING,TEACHING,LECTURE THEATRE
SUPPORT,MUSEUM,
SUPPORT,LIBRARY,LIBRARY OTHER
SUPPORT,OFFICE,
SUPPORT,MEETING ,MEETING
SUPPORT,MUSEUM,MUSEUM
SUPPORT,OFFICE,NON-ACADEMIC OFFICE
RESEARCH,OFFICE,NON-ACADEMIC OFFICE
RESEARCH,,
RESEARCH,OFFICE,
SUPPORT,CHILDCARE,NURSERY
TEACHING,PERFORMANCE,PERFORMANCE
SUPPORT,STUDY,PG STUDY 
RESEARCH,LABORATORY,
RESEARCH,OFFICE,PGR OFFICE
SUPPORT,OFFICE,PHOTOCOPIER/PRINTER
SUPPORT,OFFICE,POST ROOM
SUPPORT,LIBRARY,READERS
SUPPORT,OFFICE,RECEPTION/WAITING
RESEARCH,CONTROLLED ENV.,
RESEARCH,CONTROLLED ENV.,WARM ROOM
RESEARCH,CONTROLLED ENV.,COLD STORAGE
RESEARCH,CONTROLLED ENV.,FREEZER
RESEARCH,CONTROLLED ENV.,COLD ROOM
RESEARCH,CONTROLLED ENV.,WASH-UP
RESEARCH,CONTROLLED ENV.,AIR-LOCK
RESEARCH,CONTROLLED ENV.,CLEAN ROOM
RESEARCH,CONTROLLED ENV.,GLASSHOUSE
RESEARCH,RESEARCH,
TEACHING,SOUND,RECORDING/LISTENING
RESEARCH,STORE,
RESEARCH,STORE,STORE
TEACHING,,
TEACHING,OFFICE,
TEACHING,TEACHING,REHEARSAL
TEACHING,PERFORMANCE,
RESEARCH,RESEARCH,SEMINAR ROOM
TEACHING,SOUND,
TEACHING,TEACHING,SEMINAR ROOM
TEACHING,TEACHING,
SUPPORT,CATERING,SERVERY
SUPPORT,MEETING ,SOCIAL 
SUPPORT,STUDY,SOCIAL LEARNING 
TEACHING,SPORT ACTIVITY,SPORT ACTIVITY
SUPPORT,RECREATION,SPORTS HALL
SUPPORT,RECREATION,SPORTS OTHER
TEACHING,LABORATORY,
TEACHING,TEACHING,STUDIO
SUPPORT,CATERING,TEA POINT
TEACHING,SPORT ACTIVITY,
SUPPORT,WELLBEING,WELLNESS ROOM
TEACHING,STORE,
TEACHING,STORE,STORE
UNKNOWN,UNKNOWN,UNKNOWN
SUPPORT,WORKSHOP,WORKSHOP
